Period,Year,Data Item,Value
1/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279403000
2/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",277739000
3/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",276732000
4/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",275511000
5/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",274922000
6/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",274456000
7/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",273098000
8/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",272867000
9/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",273131000
10/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",274305000
11/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278003000
12/1/2008,2008,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",280716000
1/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",280669000
2/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279917000
3/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279817000
4/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279201000
5/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",276364000
6/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",273181000
7/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",272510000
8/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",273286000
9/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",274981000
10/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",277179000
11/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279401000
12/1/2009,2009,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",280737000
1/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279481000
2/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278911000
3/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",280396000
4/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279379000
5/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",277709000
6/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278482000
7/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278379000
8/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",279059000
9/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278397000
10/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",276363000
11/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278812000
12/1/2010,2010,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",281763000
1/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",280452000
2/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278153000
3/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278897000
4/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278539000
5/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",275481000
6/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",275527000
7/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",277025000
8/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",278200000
9/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",280263000
10/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",281925000
11/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",284575000
12/1/2011,2011,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",285649000
1/1/2012,2012,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",285050000
2/1/2012,2012,"CHICKENS, LAYERS, TABLE - INVENTORY, AVG, MEASURED IN HEAD",285165000
