Period,Data Item,Value
2008-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7422000
2008-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7370000
2008-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8037000
2008-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7649000
2008-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8606000
2008-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",9087000
2008-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8388000
2008-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6606000
2008-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7266000
2008-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6362000
2008-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",5630000
2008-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6751000
2009-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6761000
2009-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7288000
2009-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7548000
2009-04-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8231000
2009-05-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8953000
2009-06-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7862000
2009-07-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",8402000
2009-08-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7005000
2009-09-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6057000
2009-10-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6546000
2009-11-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6556000
2009-12-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7464000
2010-01-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",7816000
2010-02-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6940000
2010-03-01,"CHICKENS, LAYERS - LOSS, DEATH & RENDERED, MEASURED IN HEAD",6577000
